data,dia,horario,rodada,id_arena,id_clube1,id_clube2,id_clube_vencedor,id_estado_clube1,id_estado_clube2,id_estado_vencedor,qtd_gols_clube1,qtd_gols_clube2
03/10/2015,Sábado,18h30,29ª Rodada,21,18,27,18,21,17,21,2,1
03/10/2015,Sábado,18h30,29ª Rodada,29,10,3,3,16,13,13,0,3
03/10/2015,Sábado,21h00,29ª Rodada,56,26,4,26,25,16,25,1,0
04/10/2015,Domingo,11h00,29ª Rodada,51,14,19,14,19,24,19,2,0
04/10/2015,Domingo,11h00,29ª Rodada,66,5,28,0,24,19,0,1,1
04/10/2015,Domingo,16h00,29ª Rodada,71,25,15,25,25,19,25,3,1
04/10/2015,Domingo,16h00,29ª Rodada,54,22,9,0,25,25,0,2,2
04/10/2015,Domingo,16h00,29ª Rodada,69,16,13,13,9,24,24,2,3
04/10/2015,Domingo,16h00,29ª Rodada,52,12,17,0,13,21,0,0,0
04/10/2015,Domingo,18h30,29ª Rodada,6,8,21,8,24,25,24,5,1
14/10/2015,Quarta-feira,19h30,30ª Rodada,40,3,18,3,13,21,13,2,1
14/10/2015,Quarta-feira,19h30,30ª Rodada,39,27,5,27,17,24,17,3,0
14/10/2015,Quarta-feira,21h00,30ª Rodada,59,13,14,13,24,19,24,3,0
14/10/2015,Quarta-feira,21h00,30ª Rodada,15,19,10,19,24,16,24,3,1
14/10/2015,Quarta-feira,21h00,30ª Rodada,4,21,22,22,25,25,25,0,1
14/10/2015,Quarta-feira,22h00,30ª Rodada,9,4,12,0,16,13,0,2,2
14/10/2015,Quarta-feira,22h00,30ª Rodada,51,15,26,15,19,25,19,2,0
15/10/2015,Quinta-feira,19h30,30ª Rodada,7,9,16,9,25,9,25,3,0
15/10/2015,Quinta-feira,19h30,30ª Rodada,51,28,8,0,19,24,0,1,1
15/10/2015,Quinta-feira,21h00,30ª Rodada,11,17,25,17,21,25,21,1,0
17/10/2015,Sábado,18h30,31ª Rodada,66,5,21,21,24,25,25,1,3
17/10/2015,Sábado,21h00,31ª Rodada,15,19,13,19,24,24,24,1,0
18/10/2015,Domingo,11h00,31ª Rodada,54,22,10,22,25,16,25,3,0
18/10/2015,Domingo,11h00,31ª Rodada,52,12,15,12,13,19,13,2,0
18/10/2015,Domingo,16h00,31ª Rodada,51,14,18,18,19,21,21,0,1
18/10/2015,Domingo,16h00,31ª Rodada,56,26,28,0,25,19,0,2,2
18/10/2015,Domingo,16h00,31ª Rodada,9,4,9,9,16,25,25,1,4
18/10/2015,Domingo,17h00,31ª Rodada,71,25,16,25,25,9,25,3,1
18/10/2015,Domingo,17h00,31ª Rodada,11,17,8,8,21,24,24,2,3
18/10/2015,Domingo,18h30,31ª Rodada,39,27,3,27,17,13,17,4,1
24/10/2015,Sábado,17h00,32ª Rodada,51,15,4,4,19,16,16,0,1
24/10/2015,Sábado,18h30,32ª Rodada,21,18,19,18,21,24,21,1,0
24/10/2015,Sábado,18h30,32ª Rodada,59,13,25,0,24,25,0,0,0
24/10/2015,Sábado,21h00,32ª Rodada,60,21,27,27,25,17,17,0,2
25/10/2015,Domingo,17h00,32ª Rodada,29,10,26,26,16,25,25,1,2
25/10/2015,Domingo,17h00,32ª Rodada,7,9,14,9,25,19,25,1,0
